SaleAmount_2024,Total Enrollment
283726,17444
498262,24360
782180,24355
28081,23464
185230,26026
474010,23464
33211,21691
235660,21133
232965,23464
207684,20810
172923,20025
221309,20448
248254,24297
1748803,22813
122004,17168
229006,20448
705569,22813
558098,21536
173296,25642
319724,20810
287769,21536
1607531,25018
162198,20262
194194,24391
480442,26026
722795,23898
206314,15179
532789,26149
393275,25944
400932,26149
409513,16379
285707,17662
109239,20262
283337,15903
260844,7873
522817,23898
156162,24639
67033,10852
300286,16889
387190,25642
284920,23732
186362,24297
329779,23732
266440,23907
86461,20025
285288,25018
386194,22813
648284,16464
147173,24360
386519,25018
437860,23898
233752,25018
289327,22371
265368,22534
265527,21691
338777,17034
319941,24360
210613,22071
634215,21446
244867,23883
972104,22371
297282,19789
429914,22813
63503,17034
227925,23883
162658,24639
220302,15179
714164,15903
170588,16452
195332,16889
628004,25944
50486,16179
539971,15529
267356,16420
239025,23464
819817,23907
451774,22813
297812,23883
216559,20794
617875,22371
581768,23732
245286,19724
223642,17034
285000,26470
319496,20025
149635,21133
262784,19789
321693,24639
67766,22813
727451,25018
228466,16452
221124,22813
157837,21536
228694,24360
323940,25018
396363,25944
2,19867
211100,20810
272335,21691
635358,23907
1213716,24391
261468,22371
195821,17606
241080,22371
189845,12351
250867,12351
326390,12907
286450,21691
411697,22813
122749,19724
387826,23464
270000,26470
830782,24639
366520,22813
157505,16379
726207,22534
316594,24297
266759,16889
589287,22534
194887,17444
29236,21133
303578,9735
225443,17168
211659,22534
172617,24391
175017,25944
209127,23898
218858,17606
232799,19724
149915,24639
1329983,17034
230931,20448
60025,12907
562806,26149
252094,17662
116426,17444
132785,20448
76516,23907
557457,25642
320906,21536
809650,22534
306077,19867
220205,16985
67792,20794
221634,21446
140496,25018
285093,24355
213109,21446
460990,24639
1160041,23907
187394,24639
143884,21536
176258,26026
303867,20448
485058,23907
265962,16985
106038,21536
100593,19789
1750000,26470
490804,25642
151494,9011
449822,22071
242792,22371
169627,23732
589606,26149
274479,23898
531967,23898
342143,17168
262182,22071
647150,26026
151570,16985
296227,23907
207340,17606
122865,17034
336174,22371
163261,17662
195084,12907
309435,21446
283324,21133
104222,19711
570577,25018
617204,25018
385562,22071
272780,21446
293116,16446
259412,24297
253101,17444
329547,20794
1502998,23907
234420,21446
327627,26026
437253,24639
322960,23883
484138,22534
720253,24360
350000,26470
315210,22371
769868,24297
449746,24639
263403,21446
897212,26026
93381,22371
375613,23907
228907,21536
218135,25642
465432,21446
214573,20448
142990,16985
293412,25944
362845,17606
304430,23883
294803,26149
342399,22371
114773,20810
549298,23883
700404,26026
208414,21536
690000,26470
68063,16985
750000,26470
87938,20262
242724,17444
206504,22813
85458,21536
495000,26470
236960,22071
375677,25642
690254,17034
186731,19711
242391,23464
569841,23732
564873,26026
207622,16985
197664,20810
309769,23898
722353,21691
193218,7873
246930,20025
356160,20810
134450,17662
193218,7873
147245,25018
251790,23732
390833,19711
309340,16379
233703,21536
480442,26026
387663,10852
220559,25642
278411,17444
316456,23464
189988,19711
373963,21691
315510,21691
180948,19724
248614,20810
964810,26149
295211,26026
136793,20262
1082319,17034
268085,25944
165100,20025
492005,22534
529526,22534
575543,17168
379002,16889
472601,21691
470536,23898
236002,16889
271340,23883
364497,21691
209042,26149
27883,16985
195419,20262
177795,22813
581694,25642
748328,24639
379014,24355
366887,25018
218615,20810
361978,25018
262049,16179
77197,20025
285950,26026
430100,26470
212626,21133
223643,19711
191116,21446
259608,23907
277042,21446
742081,26026
215459,23464
146562,19711
297204,22071
179012,21446
186029,17444
149403,16531
307207,21691
321603,26149
456676,26149
88916,20262
409853,21536
111565,19867
307834,24391
549565,24639
392655,25018
154362,17168
467296,23907
179300,17034
263025,22371
691074,24360
477779,17662
337611,24355
217751,17168
173070,20810
102930,20025
607971,25018
198920,17168
136390,21446
250471,23464
617557,26026
393594,22071
160244,20262
680182,21536
28081,23464
306040,22813
707750,24639
740345,26026
303466,21536
174450,12907
335308,23464
678643,25642
252753,22371
370461,26026
289907,17034
357807,23732
252888,21536
238535,23898
316136,26149
146334,17034
208259,16531
488141,24297
261541,21691
515041,25642
278937,24297
359816,22813
191965,24360
194452,23464
437717,17606
461215,23883
326963,26149
898180,24297
412873,22071
269105,15903
485497,21133
891997,24360
255953,24360
936351,17662
451189,22371
478548,25018
278294,23732
238480,16889
1082319,17034
208444,19711
252114,24360
166346,19724
54642,23907
228452,22534
95645,23907
143277,24355
319523,26026
257864,15529
336126,17662
201054,19724
291321,22813
127665,21536
339831,23898
200984,16179
606468,23898
210107,24391
510639,25944
121186,25642
263821,19867
189825,17444
1158987,24297
377201,24355
392178,23898
257025,16452
202354,17444
81631,16889
140500,20025
378482,23907
124429,16379
326761,23898
181148,24639
348637,21536
246562,26149
122060,20810
305236,22071
281470,23907
327152,20448
162211,16452
190498,22371
412289,24355
238215,20794
617166,21446
345462,23883
