ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade,SaleDateYr,Grade out of 10,Year,Total Enrollment,Undergraduate Enrollment,Graduate Enrollment,CPI_Avg,SaleAmount_2024
41D040000,42300,1970/10/08 04:00:00+00,3,1967.0,2083.0,C +,1970,5.0,1970.0,10852,6576.0,4276.0,38.84166666666667,341628
41D040000,261500,2010/09/30 04:00:00+00,3,1967.0,2083.0,C +,2010,5.0,2010.0,24391,15595.0,8796.0,218.0761666666667,376162
41D040000,335000,2016/08/10 04:00:00+00,3,1967.0,2083.0,C +,2016,5.0,2016.0,23898,16331.0,7567.0,240.00541666666666,437860
41D042000,282500,2002/02/11 05:00:00+00,4,1963.0,1894.0,B,2002,6.5,2002.0,21536,13805.0,7731.0,179.86666666666667,492696
41D042000,469000,2006/01/27 05:00:00+00,4,1963.0,1894.0,B,2006,6.5,2006.0,22371,14678.0,7693.0,201.5583333333333,729934
41D042000,533000,2018/04/30 04:00:00+00,4,1963.0,1894.0,B,2018,6.5,2018.0,24639,16777.0,7862.0,251.0995,665875
41D042000,215000,1998/06/15 04:00:00+00,4,1963.0,1894.0,B,1998,6.5,1998.0,20448,13370.0,7078.0,163.00833333333333,413752
41D043000,225000,1991/08/01 04:00:00+00,3,1969.0,1955.0,B +,1991,7.0,1991.0,17606,11306.0,6300.0,136.16666666666666,518350
41D043000,449000,2004/06/28 04:00:00+00,3,1969.0,1955.0,B +,2004,7.0,2004.0,21691,14129.0,7562.0,188.90833333333333,745601
41D043000,270000,1998/05/29 04:00:00+00,3,1969.0,1955.0,B +,1998,7.0,1998.0,20448,13370.0,7078.0,163.00833333333333,519595
41D043000,855000,2021/11/17 05:00:00+00,3,1969.0,1955.0,B +,2021,7.0,2021.0,26026,17299.0,8727.0,270.96791666666667,989828
41D045000,205000,1997/08/28 04:00:00+00,3,1969.0,2080.0,B +,1997,7.0,1997.0,20262,13246.0,7016.0,160.525,400610
41D045000,195000,1990/08/06 04:00:00+00,3,1969.0,2080.0,B +,1990,7.0,1990.0,17662,11304.0,6358.0,130.65833333333333,468175
41D046000,220000,1997/12/08 05:00:00+00,4,1962.0,2458.0,B +,1997,7.0,1997.0,20262,13246.0,7016.0,160.525,429923
41D046000,203000,1991/07/25 04:00:00+00,4,1962.0,2458.0,B +,1991,7.0,1991.0,17606,11306.0,6300.0,136.16666666666666,467667
41D046000,650000,2018/12/03 05:00:00+00,4,1962.0,2458.0,B +,2018,7.0,2018.0,24639,16777.0,7862.0,251.0995,812043
41D046000,700000,2021/03/04 05:00:00+00,4,1962.0,2458.0,B +,2021,7.0,2021.0,26026,17299.0,8727.0,270.96791666666667,810385
41D046000,250000,1998/08/14 04:00:00+00,4,1962.0,2458.0,B +,1998,7.0,1998.0,20448,13370.0,7078.0,163.00833333333333,481107
41D046000,640000,2005/04/14 04:00:00+00,4,1962.0,2458.0,B +,2005,7.0,2005.0,22071,14213.0,7858.0,195.26666666666665,1028166
41D046000,420000,2003/07/03 04:00:00+00,4,1962.0,2458.0,B +,2003,7.0,2003.0,21446,13829.0,7617.0,184.0,716049
41D046000,595000,2007/06/04 04:00:00+00,4,1962.0,2458.0,B +,2007,7.0,2007.0,22534,15079.0,7455.0,207.34416666666667,900195
41D047000,454000,2016/11/15 05:00:00+00,4,1964.0,2519.0,B,2016,6.5,2016.0,23898,16331.0,7567.0,240.00541666666666,593398
41D048000,112200,1987/03/24 04:00:00+00,4,1962.0,2668.0,C++,1987,5.5,1987.0,17034,11097.0,5937.0,113.61666666666667,309786
41D048000,70000,1977/09/02 04:00:00+00,4,1962.0,2668.0,C++,1977,5.5,1977.0,15903,10330.0,5573.0,60.61666666666667,362257
41D049000,392000,2015/05/08 04:00:00+00,4,1958.0,2070.0,B -,2015,6.0,2015.0,23883,16736.0,7147.0,237.00175000000002,518855
41D050000,475000,2008/07/16 04:00:00+00,3,1957.0,1920.0,B -,2008,6.0,2008.0,22813,15207.0,7606.0,215.25424999999998,692234
41D051000,395000,2005/07/28 04:00:00+00,3,1957.0,2154.0,B,2005,6.5,2005.0,22071,14213.0,7858.0,195.26666666666665,634571
41D052000,180000,1991/03/29 04:00:00+00,3,1958.0,2318.0,B,1991,6.5,1991.0,17606,11306.0,6300.0,136.16666666666666,414680
41D052000,170000,1990/04/26 04:00:00+00,3,1958.0,2318.0,B,1990,6.5,1990.0,17662,11304.0,6358.0,130.65833333333333,408153
41D052000,313500,2003/06/09 04:00:00+00,3,1958.0,2318.0,B,2003,6.5,2003.0,21446,13829.0,7617.0,184.0,534479
41D052000,220000,1999/07/22 04:00:00+00,3,1958.0,2318.0,B,1999,6.5,1999.0,20794,13576.0,7218.0,166.58333333333334,414288
41D053000,303500,2014/01/08 05:00:00+00,3,1975.0,1632.0,C++,2014,5.5,2014.0,23732,16483.0,7249.0,236.715,402202
41D053000,148500,1998/06/02 04:00:00+00,3,1975.0,1632.0,C++,1998,5.5,1998.0,20448,13370.0,7078.0,163.00833333333333,285777
41D053000,121000,1987/08/18 04:00:00+00,3,1975.0,1632.0,C++,1987,5.5,1987.0,17034,11097.0,5937.0,113.61666666666667,334083
41D053000,337000,2005/08/08 04:00:00+00,3,1975.0,1632.0,C++,2005,5.5,2005.0,22071,14213.0,7858.0,195.26666666666665,541393
41D054000,362000,2015/07/16 04:00:00+00,2,2001.0,1230.0,C++,2015,5.5,2015.0,23883,16736.0,7147.0,237.00175000000002,479146
41D054000,350000,2005/08/15 04:00:00+00,2,2001.0,1230.0,C++,2005,5.5,2005.0,22071,14213.0,7858.0,195.26666666666665,562278
41D054000,57000,1974/08/15 04:00:00+00,2,2001.0,1230.0,C++,1974,5.5,1974.0,14382,9358.0,5024.0,49.31666666666666,362570
41D054000,36000,2000/03/08 05:00:00+00,2,2001.0,1230.0,C++,2000,5.5,2000.0,20810,13718.0,7092.0,172.1916666666667,65584
41D054000,19500,1986/11/24 05:00:00+00,2,2001.0,1230.0,C++,1986,5.5,1986.0,16985,11249.0,5736.0,109.69166666666666,55766
41D054000,373000,2019/07/12 04:00:00+00,2,2001.0,1230.0,C++,2019,5.5,2019.0,25018,17011.0,8007.0,255.65258333333335,457688
41D056000,57000,1976/06/01 04:00:00+00,5,1975.0,2958.0,B -,1976,6.0,1976.0,15529,10080.0,5449.0,56.93333333333334,314065
41D057000,190000,1994/05/11 04:00:00+00,4,1959.0,2473.0,B,1994,6.5,1994.0,19724,12568.0,7156.0,148.225,402108
41D057000,445000,2017/07/10 04:00:00+00,4,1959.0,2473.0,B,2017,6.5,2017.0,24360,16655.0,7705.0,245.121,569496
41D057000,355000,2004/02/26 05:00:00+00,4,1959.0,2473.0,B,2004,6.5,2004.0,21691,14129.0,7562.0,188.90833333333333,589506
41D057000,232000,1998/08/14 04:00:00+00,4,1959.0,2473.0,B,1998,6.5,1998.0,20448,13370.0,7078.0,163.00833333333333,446467
41D057000,410000,2015/06/24 04:00:00+00,4,1959.0,2473.0,B,2015,6.5,2015.0,23883,16736.0,7147.0,237.00175000000002,542680
41D057000,170000,1988/10/07 04:00:00+00,4,1959.0,2473.0,B,1988,6.5,1988.0,17168,11197.0,5971.0,118.27499999999999,450886
41D059000,53500,1973/05/08 04:00:00+00,4,1972.0,2640.0,C +,1973,5.0,1973.0,13732,8873.0,4859.0,44.425000000000004,377779
41D059000,252000,2003/11/26 05:00:00+00,4,1972.0,2640.0,C +,2003,5.0,2003.0,21446,13829.0,7617.0,184.0,429629
41D060000,15000,1985/01/31 05:00:00+00,4,1986.0,1758.0,B -,1985,6.0,1985.0,16889,11195.0,5694.0,107.60000000000001,43731
41D060000,705000,2021/08/11 04:00:00+00,4,1986.0,1758.0,B -,2021,6.0,2021.0,26026,17299.0,8727.0,270.96791666666667,816174
41D060000,8000,1975/10/10 04:00:00+00,4,1986.0,1758.0,B -,1975,6.0,1975.0,15179,9770.0,5409.0,53.824999999999996,46624
41D061000,280000,2011/10/18 04:00:00+00,4,1973.0,1947.0,C++,2011,5.5,2011.0,24297,15762.0,8535.0,224.923,390513
41D061000,181500,1999/06/21 04:00:00+00,4,1973.0,1947.0,C++,1999,5.5,1999.0,20794,13576.0,7218.0,166.58333333333334,341787
41D062000,1500,1990/03/28 04:00:00+00,4,1973.0,1728.0,C++,1990,5.5,1990.0,17662,11304.0,6358.0,130.65833333333333,3601
41D062000,125000,1989/06/08 04:00:00+00,4,1973.0,1728.0,C++,1989,5.5,1989.0,17444,11199.0,6245.0,123.94166666666666,316376
41D062000,220000,2004/06/21 04:00:00+00,4,1973.0,1728.0,C++,2004,5.5,2004.0,21691,14129.0,7562.0,188.90833333333333,365328
41D062000,136000,1998/06/15 04:00:00+00,4,1973.0,1728.0,C++,1998,5.5,1998.0,20448,13370.0,7078.0,163.00833333333333,261722
41D063000,163000,1989/10/10 04:00:00+00,4,1973.0,1713.0,C++,1989,5.5,1989.0,17444,11199.0,6245.0,123.94166666666666,412554
