ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade
030080100,261500,1999,3,1999.0,2196.0,B
030080100,368000,2013,3,1999.0,2196.0,B
030080101,320000,2005,3,1998.0,1815.0,B +
030080101,635000,2022,3,1998.0,1815.0,B +
030080101,289900,2004,3,1998.0,1815.0,B +
030080101,165500,1999,3,1998.0,1815.0,B +
030080110,245000,2002,4,1999.0,1425.0,B
030080110,494000,2021,4,1999.0,1425.0,B
030080110,163600,1999,4,1999.0,1425.0,B
030080200,700000,2022,3,1999.0,2260.0,B +
030080200,428000,2005,3,1999.0,2260.0,B +
030080200,385000,2003,3,1999.0,2260.0,B +
030080200,228000,1999,3,1999.0,2260.0,B +
030080300,445000,2020,4,1998.0,2136.0,B
030080300,167000,1999,4,1998.0,2136.0,B
030080300,325000,2005,4,1998.0,2136.0,B
030080400,385000,2015,4,1998.0,1840.0,B
030080400,174900,1999,4,1998.0,1840.0,B
030080400,291000,2003,4,1998.0,1840.0,B
030080400,375000,2013,4,1998.0,1840.0,B
030080500,179900,1998,3,1998.0,1596.0,B
030080600,178000,2000,3,1998.0,2064.0,B
030080600,415000,2007,3,1998.0,2064.0,B
030080600,158500,1998,3,1998.0,2064.0,B
030080600,266000,2003,3,1998.0,2064.0,B
030080700,278000,2003,4,1998.0,1717.0,B
030080700,315000,2016,4,1998.0,1717.0,B
030080700,349000,2006,4,1998.0,1717.0,B
030080700,158900,1998,4,1998.0,1717.0,B
030080800,699500,2022,4,1997.0,2336.0,B
030080800,205000,2001,4,1997.0,2336.0,B
030080800,350000,2005,4,1997.0,2336.0,B
030080800,151900,1998,4,1997.0,2336.0,B
030080800,421500,2016,4,1997.0,2336.0,B
030080900,455000,2020,4,1998.0,2644.0,B +
030080900,157900,1998,4,1998.0,2644.0,B +
030089000,70000,1984,6,1979.0,2416.0,B -
030089000,325000,2005,6,1979.0,2416.0,B -
030089000,375000,2020,6,1979.0,2416.0,B -
030090000,163000,2011,3,2011.0,1028.0,C
030090000,155000,2006,3,2011.0,1028.0,C
030090000,150401,2010,3,2011.0,1028.0,C
030090000,57000,1991,3,2011.0,1028.0,C
030090000,35000,2010,3,2011.0,1028.0,C
030090100,55000,2007,10,2021.0,4185.0,B -
030090100,135000,2020,10,2021.0,4185.0,B -
030093000,98000,1998,3,1963.0,1107.0,C
030093100,61400,1998,6,1958.0,2160.0,C
